Company,Website,Email,Phone,Details
IDG Ventures,https://www.idgventures.com,contact@idgventures.com,+91 80 4351234,Home: | Contact: - | About: -
Orios Ventures,https://www.oriosventures.com,hello@oriosventures.com,+91 22 4355678,http://localhost:5000/static/company_details_9836a115_27801172.docx
Matrix Partners,https://www.matrixpartners.com,namaste@matrixpartners.com,+91 11 4359012,http://localhost:5000/static/company_details_f3314722_27801172.docx
Stellaris Ventures,https://www.stellarisventures.com,ranjani@stellarisventures.com,+91 44 4353456,http://localhost:5000/static/company_details_a1234567_27801172.docx
Sequoia Capital,https://www.sequoiacap.com,support@sequoiacap.com,+91 20 4357890,http://localhost:5000/static/company_details_b2345678_27801172.docx
Accel Partners,https://www.accel.com,info@accel.com,+91 80 4352468,http://localhost:5000/static/company_details_c3456789_27801172.docx
Pi Ventures,https://www.piventures.com,info@piventures.com,+91 11 4351357,http://localhost:5000/static/company_details_d4567890_27801172.docx
Chiratae Ventures,https://www.chiratae.com,swami@chiratae.com,+91 80 4359753,http://localhost:5000/static/company_details_e5678901_27801172.docx
Nexus Ventures,https://www.nexusventures.com,FP-Horizon@nexusventures.com,+91 22 4358642,http://localhost:5000/static/company_details_f6789012_27801172.docx
Kalaari Capital,https://www.kalaari.com,support@kalaari.com,+91 80 4357531,http://localhost:5000/static/company_details_g7890123_27801172.docx
Inventus Capital,https://www.inventus.com,deals@inventus.com,+91 11 4356420,http://localhost:5000/static/company_details_h8901234_27801172.docx
