Company Name,Email Id,Address,Contact no
Lets venture,contact@lvxventures.com," Bangalore, karnataka",
Peak XV ,Pr@peakxv.com,"bengaluru , kanataka",
Venture Catalysts pvt. Ltd.,Investors@venturecatalysts.in,"Mumbai, Maharastra",
IP ventures ,marcom@ipventures.in,"bengaluru , kanataka",
OMNIVORE PARTNERS,Info@omnivore.vc,,
Alteria Capital,alteria@alteriacapital.com,"gurgram , haryana",
India Angel Network,shruti@indianangelnetwork.com,"Delhi, India",
100UNICORNS ACCELERATOR FUND,apply@100unicorns.in,"Mumbai, Maharastra",
Z47 investor,namaste@z47.com,"bengaluru , kanataka",
AXILOR VENTURES,careers@axilor.com,"bengaluru , kanataka",
Titan Capital,startups@titancapital.vc.,"Gurgaon, haryana",
LOGX VENTURES,Ramakant.sharma@gmail.com,,
Innoven capital ,contact@innovencapital.com,"Mumbai, Maharastra",
LEAD ANGELS NETWORK,info@leadinvest.in,,
INDIA QUOTIENT,LUNIAANDCO@VSNL.NET," AHMEDABAD, Gujarat",
IVYCAP VENTURES,corporate@ivycapventures.com,,
OMIDYAR NETWORK,csindia@omidyarnetwork.in,"bengaluru , kanataka",
IIMA Venture,venturesfrontdesk@iima.ac.in,"ahmedabad, gujarat",
STRIDE VENTURES,pitch@strideventures.in,new delhi,
PONTAQ ,Christine@pontaq.vc,"chennai, tamilnadu",
WHITEBOARD CAPITAL,ksurwade@tandongroup.com,"Mumbai, Maharastra",
GSF,team@gsfindia.com,"Gurgaon, haryana",
Z Nation Lab,invest@znationlab.com,,
100X VC,hello@100x.vc,,
INFO EDGE VENTURES,connect@infoedgeventures.com,,
ANICUT CAPITAL ,reachus@anicutcapital.com,,
KAE CAPITAL,info@kae-capital.com,,
ARTHA VENTURE FUND,info@artha.group,,
FIRST CHEQUE,info@firstcheque.vc,,
